t_days,B,F,A
0.000000000000000000e+00,5.049979163757847833e-02,9.963100285603457285e-02,1.001042649420214904e-02
1.041666666666666609e-02,5.087488530522857322e-02,9.967288890766402842e-02,9.914786551220284780e-03
2.083333333333333218e-02,5.145831089800791125e-02,9.952147927225840629e-02,1.006600715533306073e-02
3.125000000000000000e-02,5.190955134039412777e-02,9.942930334028268757e-02,1.006150134182221857e-02
4.166666666666666435e-02,5.261525558588871221e-02,9.902350333995205145e-02,1.011915340509605792e-02
5.208333333333332871e-02,5.286913483771803202e-02,9.874145697747592487e-02,1.017842290058157233e-02
6.250000000000000000e-02,5.327892219816551117e-02,9.852073001730114743e-02,1.020685730326206103e-02
7.291666666666665741e-02,5.365039239158017614e-02,9.828296582186081543e-02,1.000061448124783987e-02
8.333333333333332871e-02,5.376931825430340123e-02,9.798419554978853030e-02,1.003344221524057715e-02
9.375000000000000000e-02,5.434366902097981233e-02,9.771302029199675776e-02,9.918347416055767196e-03
1.041666666666666574e-01,5.488340504495426569e-02,9.749674913754724503e-02,9.761185336672697013e-03
1.145833333333333287e-01,5.539432212806822547e-02,9.739494633378667499e-02,9.755547469236468955e-03
1.250000000000000000e-01,5.564571636575405683e-02,9.718895098011255673e-02,9.707479562445914256e-03
1.354166666666666574e-01,5.610321798309768349e-02,9.702822779839348488e-02,9.697191785127201938e-03
1.458333333333333148e-01,5.644320751460446539e-02,9.682243114622819669e-02,9.684732812739380720e-03
1.562500000000000000e-01,5.738184397391388192e-02,9.674279184437475920e-02,9.631229220774417676e-03
1.666666666666666574e-01,5.783337367910407895e-02,9.673314746052198709e-02,9.568852200740081762e-03
1.770833333333333148e-01,5.793170697289864307e-02,9.635775647868040361e-02,9.544404649266239118e-03
1.875000000000000000e-01,5.839723415735193629e-02,9.638891075813570131e-02,9.740958875010715876e-03
1.979166666666666574e-01,5.855358035539036388e-02,9.608475146498991759e-02,9.434354994743357828e-03
2.083333333333333148e-01,5.843680605704216352e-02,9.619167699555204731e-02,9.441606413770104941e-03
2.187500000000000000e-01,5.912440213522356103e-02,9.588740633766365540e-02,9.291585608212343111e-03
2.291666666666666574e-01,5.982416374273605980e-02,9.595084350208861468e-02,9.326252944862141805e-03
2.395833333333333148e-01,6.025335858480604379e-02,9.578728483886447820e-02,9.156597456403042790e-03
2.500000000000000000e-01,6.059650127547694387e-02,9.560022399191596409e-02,8.931635663198595268e-03
2.604166666666666297e-01,6.137128050581578537e-02,9.549972108593024478e-02,9.003085061970552902e-03
2.708333333333333148e-01,6.207974585362872888e-02,9.536871702138351170e-02,9.156248112479448142e-03
2.812500000000000000e-01,6.278945216075176861e-02,9.521640273029081947e-02,8.757084002357182206e-03
2.916666666666666297e-01,6.296683621226234484e-02,9.495174474451006930e-02,9.102848978957489914e-03
3.020833333333333148e-01,6.347403493752555581e-02,9.490356113518284842e-02,9.218276254659719601e-03
3.125000000000000000e-01,6.376777023779275910e-02,9.479037416690370976e-02,9.607234470848444521e-03
3.229166666666666297e-01,6.496211198792653518e-02,9.460863982655744187e-02,9.337431206477201859e-03
3.333333333333333148e-01,6.502448292255384732e-02,9.455757022626662400e-02,9.198662376239008509e-03
3.437500000000000000e-01,6.553180198522541577e-02,9.445151671960974604e-02,9.394860857168313428e-03
3.541666666666666297e-01,6.554775387472426551e-02,9.423723993351240669e-02,9.554994788880982054e-03
3.645833333333333148e-01,6.595385344743827372e-02,9.408590732998117767e-02,9.359524811001699099e-03
3.750000000000000000e-01,6.624935764558509410e-02,9.389347003980987039e-02,9.447944327540164916e-03
3.854166666666666297e-01,6.684104269409149590e-02,9.382865031193145244e-02,9.795772073689893930e-03
3.958333333333333148e-01,6.714272961462500189e-02,9.353299073778807704e-02,9.817271414231949767e-03
4.062500000000000000e-01,6.759406231302425572e-02,9.334087836023591267e-02,1.023643414174832747e-02
4.166666666666666297e-01,6.811160065029213395e-02,9.349730031808453634e-02,1.016794212161228547e-02
4.270833333333333148e-01,6.848261634450673874e-02,9.314797439646976818e-02,1.007626003468628691e-02
4.375000000000000000e-01,6.837307005992260267e-02,9.303178232526430891e-02,1.041042437465378168e-02
4.479166666666666297e-01,6.921304883733568614e-02,9.293232413951177384e-02,1.056174007326057124e-02
4.583333333333333148e-01,6.949832525776739045e-02,9.281338524054454087e-02,1.042162542206447745e-02
4.687500000000000000e-01,6.979659945546916322e-02,9.261245276748823752e-02,1.055335853688242620e-02
4.791666666666666297e-01,7.010425808140365034e-02,9.257818886996546648e-02,1.033793701948131256e-02
4.895833333333333148e-01,7.025731094021130108e-02,9.261894972158063455e-02,1.020646026117017109e-02
5.000000000000000000e-01,7.112899871320665923e-02,9.228552718693260049e-02,1.003801949065711435e-02
5.104166666666666297e-01,7.155729641802741070e-02,9.246888987279518191e-02,9.502485275648557550e-03
5.208333333333332593e-01,7.213974200655494384e-02,9.226049626875067189e-02,9.528728422825248970e-03
5.312500000000000000e-01,7.213135084157303034e-02,9.241507078852180535e-02,9.357364147294319062e-03
5.416666666666666297e-01,7.275511989197201712e-02,9.239757414359568710e-02,9.001335854271886802e-03
5.520833333333332593e-01,7.347782809056749298e-02,9.218746232109534255e-02,8.915118011855628979e-03
5.625000000000000000e-01,7.400265193933651398e-02,9.233604771902167996e-02,8.861848557126707909e-03
5.729166666666666297e-01,7.359679086074989718e-02,9.235726093129532910e-02,8.578563948242251200e-03
5.833333333333332593e-01,7.410739491174585247e-02,9.245462837227698405e-02,8.718042503795696632e-03
5.937500000000000000e-01,7.441326435723454036e-02,9.222910993658595125e-02,8.760602003468653462e-03
6.041666666666666297e-01,7.423066596012110885e-02,9.209644676114486783e-02,8.794810973291020822e-03
6.145833333333332593e-01,7.478216166253755237e-02,9.187612571022026053e-02,8.536145227369120250e-03
6.250000000000000000e-01,7.487881446170173427e-02,9.191708004650471497e-02,8.346599117294769068e-03
6.354166666666666297e-01,7.533841488228081029e-02,9.164109165041074700e-02,8.358689152344075599e-03
6.458333333333332593e-01,7.612203461109114111e-02,9.173032269346348411e-02,8.445682488055560738e-03
6.562500000000000000e-01,7.633769042594960863e-02,9.187940710282621604e-02,8.537662076972150557e-03
6.666666666666666297e-01,7.682586299324543899e-02,9.197988850561346352e-02,8.592554006055975677e-03
6.770833333333332593e-01,7.734746209720504140e-02,9.183127549582925653e-02,8.555714967634629395e-03
6.875000000000000000e-01,7.781330718863499474e-02,9.189824330408617736e-02,8.433560944214041691e-03
6.979166666666666297e-01,7.814293286678285211e-02,9.670551252210873860e-02,8.486948664757592090e-03
7.083333333333332593e-01,7.819720847499189720e-02,1.013519817348474406e-01,8.452126574707877552e-03
7.187500000000000000e-01,7.909085467046095275e-02,1.059456169937635361e-01,8.383133892743397514e-03
7.291666666666666297e-01,8.033308867518799967e-02,1.108155562892042950e-01,8.460931891070336969e-03
7.395833333333332593e-01,8.041043881005978389e-02,1.107919332054567024e-01,8.434160947226569324e-03
7.500000000000000000e-01,8.072398739274655455e-02,1.104603045377315212e-01,8.179094066111674763e-03
7.604166666666666297e-01,8.102240009271542698e-02,1.103610040569036610e-01,8.107641073941209559e-03
7.708333333333332593e-01,8.085152868983545849e-02,1.102059239738355789e-01,7.823522132114221761e-03
7.812500000000000000e-01,8.136335732741199755e-02,1.098847892304557067e-01,8.032471648822795199e-03
7.916666666666666297e-01,8.208953142678214465e-02,1.096994241401722664e-01,8.082189927693970294e-03
8.020833333333332593e-01,8.277365856852265946e-02,1.097975827624338291e-01,8.228051924592437449e-03
8.125000000000000000e-01,8.316950520402038860e-02,1.098321785486677943e-01,8.141849604964898970e-03
8.229166666666666297e-01,8.391974275174225728e-02,1.095740092603549043e-01,7.860959955615262965e-03
8.333333333333332593e-01,8.451732521558701083e-02,1.093897768177451713e-01,7.712255144578521356e-03
8.437500000000000000e-01,8.439796968763567386e-02,1.094861744717763596e-01,7.685325570844960506e-03
8.541666666666666297e-01,8.522419014144833049e-02,1.095237100382579071e-01,7.700104257132440490e-03
8.645833333333332593e-01,8.585510764351048096e-02,1.095327225183454767e-01,7.605518543170210546e-03
8.750000000000000000e-01,8.639475061783687126e-02,1.093012902216750487e-01,7.399894042199250781e-03
8.854166666666666297e-01,8.678259810412804198e-02,1.091470796170565249e-01,7.414418643755537469e-03
8.958333333333332593e-01,8.738005786244852635e-02,1.092808170790792177e-01,7.236671774201742721e-03
9.062500000000000000e-01,8.793492670914643261e-02,1.088880738989644742e-01,7.359285102082997569e-03
9.166666666666666297e-01,8.835878084980854086e-02,1.088084336008391245e-01,7.474075729853911845e-03
9.270833333333332593e-01,8.909369267127241476e-02,1.086460325341411931e-01,7.551391198579072636e-03
9.375000000000000000e-01,8.930628184385416835e-02,1.083563944438393212e-01,7.605537994571299337e-03
9.479166666666666297e-01,9.024399059018643754e-02,1.085525602383919930e-01,7.731800288759163760e-03
9.583333333333332593e-01,9.056075360063643720e-02,1.084996219455419270e-01,7.580901352504568202e-03
9.687500000000000000e-01,9.084305080947742417e-02,1.084289550409396619e-01,7.580361683661744274e-03
9.791666666666666297e-01,9.116057629952629970e-02,1.080889941589375375e-01,7.622213224163938358e-03
9.895833333333332593e-01,9.196467913388763071e-02,1.076724828441042309e-01,7.673778800129552914e-03
1.000000000000000000e+00,9.213913506228024741e-02,1.072795902833951626e-01,7.618056605527591396e-03
1.010416666666666519e+00,9.247553776117756197e-02,1.068015127570171585e-01,7.642587973210092540e-03
1.020833333333333259e+00,9.263560913543530950e-02,1.065254914315838658e-01,7.777437944770455337e-03
1.031250000000000000e+00,9.355750783190487641e-02,1.065746530991379809e-01,7.768490124754052865e-03
1.041666666666666519e+00,9.381654291327796991e-02,1.062758672668409343e-01,7.899702359358162784e-03
1.052083333333333259e+00,9.412999394440894896e-02,1.060060214319890198e-01,7.513965566122955859e-03
1.062500000000000000e+00,9.437267234623734902e-02,1.058258945091426206e-01,7.445828155606072987e-03
1.072916666666666519e+00,9.540163797164077919e-02,1.056969483969196211e-01,7.336390815823390539e-03
1.083333333333333259e+00,9.601931797642447586e-02,1.053897590139398349e-01,7.467293642376119159e-03
1.093750000000000000e+00,9.659600862421983958e-02,1.053720160831683739e-01,7.708480445207240191e-03
1.104166666666666519e+00,9.680009161291590336e-02,1.049645363737092552e-01,7.971750039033081991e-03
1.114583333333333259e+00,9.703935296049152892e-02,1.049322929696000772e-01,7.959088611827491028e-03
1.125000000000000000e+00,9.690326673900893917e-02,1.046587824876451939e-01,7.744486082470765538e-03
1.135416666666666519e+00,9.727726166490541226e-02,1.044006666041289999e-01,7.755927400149787571e-03
1.145833333333333259e+00,9.761208551760131025e-02,1.038855214207805300e-01,7.725554308546386285e-03
1.156250000000000000e+00,9.903277544392365128e-02,1.037629392147161045e-01,7.695309020191647836e-03
1.166666666666666519e+00,9.930729133997817648e-02,1.040294246125735428e-01,7.633305540450577471e-03
1.177083333333333259e+00,9.953191887599681376e-02,1.037322885325668020e-01,7.756883281869339508e-03
1.187500000000000000e+00,1.004000748516681724e-01,1.036958978968100381e-01,7.649890928748379754e-03
1.197916666666666519e+00,1.011407291929075358e-01,1.029704025290812119e-01,7.786066282404811682e-03
1.208333333333333259e+00,1.019090681387580938e-01,1.027239449345825339e-01,7.654948772403592436e-03
1.218750000000000000e+00,1.025762694570826888e-01,1.028728005898948972e-01,7.499719980339328990e-03
1.229166666666666519e+00,1.033700009701219169e-01,1.029164613793776273e-01,7.659391967940761166e-03
1.239583333333333259e+00,1.034289475830661165e-01,1.025952293930491172e-01,7.541930089075793257e-03
1.250000000000000000e+00,1.043433763806516090e-01,1.025083682743891805e-01,7.454979511389024475e-03
1.260416666666666519e+00,1.049986370473299929e-01,1.024211641406143763e-01,7.714252461000859450e-03
1.270833333333333259e+00,1.051268245246033267e-01,1.021821215739813909e-01,7.417797907712143576e-03
1.281250000000000000e+00,1.061363203308344494e-01,1.019966798626120996e-01,7.373283285851445386e-03
1.291666666666666519e+00,1.064702417227313264e-01,1.018106431804262496e-01,7.143267264950300434e-03
1.302083333333333259e+00,1.066444101621085438e-01,1.016548376003183901e-01,7.519820106991936121e-03
1.312500000000000000e+00,1.068570955917960558e-01,1.011686949589813700e-01,7.349988986680243593e-03
1.322916666666666519e+00,1.071891903762854648e-01,1.011821824033956596e-01,7.505415583779645808e-03
1.333333333333333259e+00,1.080688847246931428e-01,1.007823146950580090e-01,7.539850941130599518e-03
1.343750000000000000e+00,1.084667120747218744e-01,1.006932918124951865e-01,7.284410413639935515e-03
1.354166666666666519e+00,1.083069548888674627e-01,1.005552254466671735e-01,7.195493882642216114e-03
1.364583333333333259e+00,1.083062292920369818e-01,1.005408877219452352e-01,7.193443999863737698e-03
1.375000000000000000e+00,1.086216487332593295e-01,1.001589016248126546e-01,6.967840652563199108e-03
1.385416666666666519e+00,1.094405771597676130e-01,1.000124268625972312e-01,7.185055213119428442e-03
1.395833333333333259e+00,1.094944088274417554e-01,9.995949470426172823e-02,7.397757739513290479e-03
1.406250000000000000e+00,1.100916382386463582e-01,9.992087536206015197e-02,7.518364341555987956e-03
1.416666666666666519e+00,1.108898445364218249e-01,9.947852121499002609e-02,7.549793155133250819e-03
1.427083333333333259e+00,1.112142244461614415e-01,9.946454616022233630e-02,7.378936395867765653e-03
1.437500000000000000e+00,1.116876308420367836e-01,9.959015492578103534e-02,7.446657280047946394e-03
1.447916666666666519e+00,1.120165946850527200e-01,9.926872797793527547e-02,7.535094877252923075e-03
1.458333333333333259e+00,1.125450333973350980e-01,9.902471831418063752e-02,7.384978540002562139e-03
1.468750000000000000e+00,1.125463729211765990e-01,9.888542283318170478e-02,7.171178164217264193e-03
1.479166666666666519e+00,1.130321100246118732e-01,9.876939618878384508e-02,7.178115434596623982e-03
1.489583333333333259e+00,1.131477609214004976e-01,9.880296528026534519e-02,7.154317081216494782e-03
1.500000000000000000e+00,1.135576030339827819e-01,9.870953032949350558e-02,6.906968142931171548e-03
1.510416666666666519e+00,1.138503674278113914e-01,9.875789511351046324e-02,6.783593522619274334e-03
1.520833333333333259e+00,1.140692218823211729e-01,9.871766552644123394e-02,6.871913238758109096e-03
1.531250000000000000e+00,1.147554632059733237e-01,9.864109075125319925e-02,6.914057608802036056e-03
1.541666666666666519e+00,1.150908039531872429e-01,9.864570121091678634e-02,6.743287655607140343e-03
1.552083333333333259e+00,1.153280975625489424e-01,9.859038640471259884e-02,6.508530023215186935e-03
1.562500000000000000e+00,1.160047481423254617e-01,9.838948747400558248e-02,6.160723431636539772e-03
1.572916666666666519e+00,1.166936180383113114e-01,9.843187014580562222e-02,6.125105543899406028e-03
1.583333333333333259e+00,1.175096358838149113e-01,9.837909185646780130e-02,6.087768451497555834e-03
1.593750000000000000e+00,1.177202652415456352e-01,9.810669679754101258e-02,6.006281492272612897e-03
1.604166666666666519e+00,1.184584768522828763e-01,9.802453894334811624e-02,5.878876845985969539e-03
1.614583333333333259e+00,1.192525967554513011e-01,9.799751241622721432e-02,5.923800625618938498e-03
1.625000000000000000e+00,1.198314705939759750e-01,9.770669264598975945e-02,6.042722443414460035e-03
1.635416666666666519e+00,1.198557032746579570e-01,9.743272093268613709e-02,5.859312918088622688e-03
1.645833333333333259e+00,1.198396403803715371e-01,9.733022797472488941e-02,5.963915621701800472e-03
1.656250000000000000e+00,1.207255921805601151e-01,9.705446889414912071e-02,5.505650737412974387e-03
1.666666666666666519e+00,1.212670274465761228e-01,9.682795882879170757e-02,5.299009069012729049e-03
1.677083333333333259e+00,1.218034908370993902e-01,9.668079793334809213e-02,4.854279938668366531e-03
1.687500000000000000e+00,1.219982808271630748e-01,9.641971820183450892e-02,4.737298604814948154e-03
1.697916666666666519e+00,1.225971649458539731e-01,9.625240154380690361e-02,4.609887478396223690e-03
1.708333333333333259e+00,1.227947345090735082e-01,9.642411370965213446e-02,4.608391693816406114e-03
1.718750000000000000e+00,1.230949355955965746e-01,9.620213236715659255e-02,4.568141561531529997e-03
1.729166666666666519e+00,1.235071231691597798e-01,1.018985041771547084e-01,4.550226752199583967e-03
1.739583333333333259e+00,1.233793568181011102e-01,1.077376296797056682e-01,4.640682326723588429e-03
1.750000000000000000e+00,1.237373797173418472e-01,1.130852937738881653e-01,4.347812859450091334e-03
1.760416666666666519e+00,1.243836798303368796e-01,1.184266432539772956e-01,4.394352318829424474e-03
1.770833333333333259e+00,1.248396879230320305e-01,1.238124105592951357e-01,4.375360090244752656e-03
1.781250000000000000e+00,1.258298371588451314e-01,1.238078484785346128e-01,4.200479454390444560e-03
1.791666666666666519e+00,1.261761455454632197e-01,1.235755555266980499e-01,4.029920610950793632e-03
1.802083333333333259e+00,1.264573179939626202e-01,1.234796898839108231e-01,3.945733343425601204e-03
1.812500000000000000e+00,1.268424946147033161e-01,1.232987118212396094e-01,4.166939302111228108e-03
1.822916666666666519e+00,1.277968627872380358e-01,1.229187477191079486e-01,4.061845513388170209e-03
1.833333333333333259e+00,1.284568442320908610e-01,1.227962396929723476e-01,4.138976186807005568e-03
1.843750000000000000e+00,1.289391298047214696e-01,1.228460368528575680e-01,4.304622991764046024e-03
1.854166666666666519e+00,1.300450416496869432e-01,1.227209121123933183e-01,4.314468073550905940e-03
1.864583333333333259e+00,1.305106303537952317e-01,1.226275081797212757e-01,4.205971761917779925e-03
1.875000000000000000e+00,1.314103518906498680e-01,1.222252932030270245e-01,4.250366241008581361e-03
1.885416666666666519e+00,1.320143037816179366e-01,1.218174378090106230e-01,4.378339660057860988e-03
1.895833333333333259e+00,1.322664440066240454e-01,1.217879127052490101e-01,4.209259810192486802e-03
1.906250000000000000e+00,1.325609441994819171e-01,1.216118324093208997e-01,4.281229567685154204e-03
1.916666666666666519e+00,1.331703688189684320e-01,1.214890091663220623e-01,4.350373456790664582e-03
1.927083333333333259e+00,1.336239482069501994e-01,1.212751894579008616e-01,4.443035351854491416e-03
1.937500000000000000e+00,1.334236027213176745e-01,1.211190609311216804e-01,4.518592056252274634e-03
1.947916666666666519e+00,1.332871431376403959e-01,1.210015602711364407e-01,4.449615072528189698e-03
1.958333333333333259e+00,1.341022864752586530e-01,1.205960913302062537e-01,4.484294097582629257e-03
1.968750000000000000e+00,1.344421550580344182e-01,1.200395080150049587e-01,4.346087921935434459e-03
1.979166666666666519e+00,1.350511196197340391e-01,1.200699406190282037e-01,4.588537236155112997e-03
1.989583333333333259e+00,1.356780972892772941e-01,1.197357839377581473e-01,4.548673126648310368e-03
2.000000000000000000e+00,1.363898698712834312e-01,1.196226434342023831e-01,4.820999217371381602e-03
2.010416666666666519e+00,1.370726357153180808e-01,1.192485030402118534e-01,4.999631742117032797e-03
2.020833333333333037e+00,1.373798013498742088e-01,1.192077184035474635e-01,5.190061566999125756e-03
2.031250000000000000e+00,1.381967812995003875e-01,1.190070314693529585e-01,5.117293496842584624e-03
2.041666666666666519e+00,1.383310595839896961e-01,1.188930775833482167e-01,5.200151287302869074e-03
2.052083333333333037e+00,1.392842517853631334e-01,1.186415198640389523e-01,5.146113379212255250e-03
2.062500000000000000e+00,1.394665494268912398e-01,1.181180020614676501e-01,5.304401099921521832e-03
2.072916666666666519e+00,1.400882993551317568e-01,1.175601037974970120e-01,5.186790285530799675e-03
2.083333333333333037e+00,1.403298677017270901e-01,1.172106492269129885e-01,5.020671545712056261e-03
2.093750000000000000e+00,1.408152210175006025e-01,1.167031171802740130e-01,4.883429114354220432e-03
2.104166666666666519e+00,1.409655875808052405e-01,1.166204990782386819e-01,5.018680310332427480e-03
2.114583333333333037e+00,1.415447491415517678e-01,1.164342186847067001e-01,5.155869587393695740e-03
2.125000000000000000e+00,1.419153967819372919e-01,1.161518254690188101e-01,4.982878898667625171e-03
2.135416666666666519e+00,1.418902309700363629e-01,1.158040999381109021e-01,4.927909087218775887e-03
2.145833333333333037e+00,1.424197585841315561e-01,1.154262161876287995e-01,5.001803154539916432e-03
2.156250000000000000e+00,1.430482109621787346e-01,1.153228881397820732e-01,5.223553358171707274e-03
2.166666666666666519e+00,1.440768914868433004e-01,1.151080592386973800e-01,5.314541457845029133e-03
2.177083333333333037e+00,1.453098342180535463e-01,1.148507692671850572e-01,5.197639577619081463e-03
2.187500000000000000e+00,1.453210076779514748e-01,1.149888813676681887e-01,5.349735261640421562e-03
2.197916666666666519e+00,1.462208532386798376e-01,1.147064640725210249e-01,5.304981226983081048e-03
2.208333333333333037e+00,1.463803780870664151e-01,1.142920908596411766e-01,5.253949260407736119e-03
2.218750000000000000e+00,1.468228978797482820e-01,1.143117534196511492e-01,5.479449637801287430e-03
2.229166666666666519e+00,1.469070603407222897e-01,1.143750096564114249e-01,5.705186860155401878e-03
2.239583333333333037e+00,1.473999755128337086e-01,1.143012560762110413e-01,5.964736525461933510e-03
2.250000000000000000e+00,1.477274271427061469e-01,1.143046435580135495e-01,5.828276342002855145e-03
2.260416666666666519e+00,1.480138672094678254e-01,1.139626067201201659e-01,5.543132842450356965e-03
2.270833333333333037e+00,1.490453629907016464e-01,1.138720969236189789e-01,5.496761133443137798e-03
2.281250000000000000e+00,1.493670675542564663e-01,1.137782477928443170e-01,5.430193712122615042e-03
2.291666666666666519e+00,1.505150942228691835e-01,1.136188331225475578e-01,5.219567163929676734e-03
2.302083333333333037e+00,1.509617280008601903e-01,1.134383817232292174e-01,4.964066958250576596e-03
2.312500000000000000e+00,1.515292913412296660e-01,1.134086212201589478e-01,4.876705682485261290e-03
2.322916666666666519e+00,1.525858926234441026e-01,1.132065626705529432e-01,4.607557850867264639e-03
2.333333333333333037e+00,1.533939660531505877e-01,1.130117058309857148e-01,4.463688080420920301e-03
