t_days,B,F,A
0.000000000000000000e+00,5.073596597474076125e-02,9.951084779533130031e-02,5.499324334427153627e-01
1.041666666666666609e-02,5.134661076610949615e-02,9.943284717399090977e-02,5.490799104211708803e-01
2.083333333333333218e-02,5.216597014500412577e-02,9.916206829032245262e-02,5.500531476250819507e-01
3.125000000000000000e-02,5.285209244716988081e-02,9.895074329195784058e-02,5.498767637358574767e-01
4.166666666666666435e-02,5.379464459590248271e-02,9.842702748779251498e-02,5.501587872643539656e-01
5.208333333333332871e-02,5.428070842431233917e-02,9.802731888663089588e-02,5.504547894957638743e-01
6.250000000000000000e-02,5.492386906490301368e-02,9.768934136641788113e-02,5.505220575678411166e-01
7.291666666666665741e-02,5.552762396192886113e-02,9.733499422407765334e-02,5.488730555900808161e-01
8.333333333333332871e-02,5.587366327480474543e-02,9.692078143405447044e-02,5.489821545015267645e-01
9.375000000000000000e-02,5.668229225360955220e-02,9.653486365340634145e-02,5.480017362787749091e-01
1.041666666666666574e-01,5.745522243359380693e-02,9.620414304649946291e-02,5.467065420940557807e-01
1.145833333333333287e-01,5.819761803803653183e-02,9.598793681654956000e-02,5.465401262887058520e-01
1.250000000000000000e-01,5.867388046965628379e-02,9.566876784378373910e-02,5.460644241107404095e-01
1.354166666666666574e-01,5.936075170944556806e-02,9.539505682045155976e-02,5.458638268726607734e-01
1.458333333333333148e-01,5.992632566062386368e-02,9.507718229060033166e-02,5.456535539567749504e-01
1.562500000000000000e-01,6.110746408697614873e-02,9.488468952307471671e-02,5.451373193390196548e-01
1.666666666666666574e-01,6.178650919467341962e-02,9.476195013793545230e-02,5.445521799417263331e-01
1.770833333333333148e-01,6.210052370252774206e-02,9.427772797287749251e-02,5.442524779276218805e-01
1.875000000000000000e-01,6.279311054164940509e-02,9.419615068452497075e-02,5.456102507215240260e-01
1.979166666666666574e-01,6.316557075802821386e-02,9.378327644792164297e-02,5.432083958211298969e-01
2.083333333333333148e-01,6.325316305192194011e-02,9.377742732820409932e-02,5.431714419652290404e-01
2.187500000000000000e-01,6.417475368373498634e-02,9.336572173811424902e-02,5.419227438941416342e-01
2.291666666666666574e-01,6.510876657074898821e-02,9.331745353357219497e-02,5.420745487562572684e-01
2.395833333333333148e-01,6.576091758439014945e-02,9.304553953518607257e-02,5.406828115789412692e-01
2.500000000000000000e-01,6.632209062102141506e-02,9.275125480495083341e-02,5.388598229822340047e-01
2.604166666666666297e-01,6.733289633854482037e-02,9.254283982116778828e-02,5.393104281811271772e-01
2.708333333333333148e-01,6.827437458390026026e-02,9.230457811461897921e-02,5.403857827203653041e-01
2.812500000000000000e-01,6.921670111297391348e-02,9.204581611000721419e-02,5.372139944661540323e-01
2.916666666666666297e-01,6.960138808480811901e-02,9.160336270995723951e-02,5.397931090476881799e-01
3.020833333333333148e-01,7.033208385918482408e-02,9.188431233681688959e-02,5.405761265839252872e-01
3.125000000000000000e-01,7.083891694659631699e-02,9.286288895148493705e-02,5.434198857633918411e-01
3.229166666666666297e-01,7.229139604813664133e-02,9.417374395292156530e-02,5.412973018456626040e-01
3.333333333333333148e-01,7.255340726199499546e-02,9.530588144697710318e-02,5.401477962235914365e-01
3.437500000000000000e-01,7.328268805821439025e-02,9.680953006909658043e-02,5.415389032092158272e-01
3.541666666666666297e-01,7.349455441388118293e-02,9.892669941762807784e-02,5.426523317304093874e-01
3.645833333333333148e-01,7.411717756226518516e-02,1.011077568033980634e-01,5.410815748897692679e-01
3.750000000000000000e-01,7.462229578203105618e-02,1.034980950900658836e-01,5.416514527754510144e-01
3.854166666666666297e-01,7.544063817079162126e-02,1.057442457394755925e-01,5.441523256334702685e-01
3.958333333333333148e-01,7.595199166449217998e-02,1.085713773150483730e-01,5.442120512200439020e-01
4.062500000000000000e-01,7.662161509430583106e-02,1.114928459543300943e-01,5.471899918074555336e-01
4.166666666666666297e-01,7.736195485077106138e-02,1.144722672364878319e-01,5.465755474017676141e-01
4.270833333333333148e-01,7.794638401403382322e-02,1.173558700792963622e-01,5.457939672761374927e-01
4.375000000000000000e-01,7.802056965518945619e-02,1.201595205592421584e-01,5.481122314574836674e-01
4.479166666666666297e-01,7.910332594366956127e-02,1.223374967429754351e-01,5.490822686880538761e-01
4.583333333333333148e-01,7.959613007747358415e-02,1.249705097378879942e-01,5.479488907945879728e-01
4.687500000000000000e-01,8.010211564771151094e-02,1.268664555792194948e-01,5.487702759087637050e-01
4.791666666666666297e-01,8.061749402294644817e-02,1.296490277720987183e-01,5.470902866049911495e-01
4.895833333333333148e-01,8.096698396392232322e-02,1.320485560197162123e-01,5.460089053785950330e-01
5.000000000000000000e-01,8.208261200949572289e-02,1.338570214449470996e-01,5.446521263978536531e-01
5.104166666666666297e-01,8.272354286301981940e-02,1.360077962566768328e-01,5.405647950332016505e-01
5.208333333333332593e-01,8.352812106047753649e-02,1.381372319269577320e-01,5.406415390662077103e-01
5.312500000000000000e-01,8.370010539344560629e-02,1.402650021670506231e-01,5.392257748006535900e-01
5.416666666666666297e-01,8.454728037411078645e-02,1.419939414163872704e-01,5.363980165300904490e-01
5.520833333333332593e-01,8.549984440213800885e-02,1.434320183857968056e-01,5.356141550268298523e-01
5.625000000000000000e-01,8.623965340084834008e-02,1.454811082041888581e-01,5.350852780562104227e-01
5.729166666666666297e-01,8.597993949885175680e-02,1.472183323874068361e-01,5.327616401220444109e-01
5.833333333333332593e-01,8.670337822251968085e-02,1.489862263267798248e-01,5.337254484354438944e-01
5.937500000000000000e-01,8.720655363272478144e-02,1.502294696263382912e-01,5.339305858799825444e-01
6.041666666666666297e-01,8.718396211236470461e-02,1.519299658285825638e-01,5.340693886687806202e-01
6.145833333333332593e-01,8.795077719748238543e-02,1.529657791851098958e-01,5.319263779174651097e-01
6.250000000000000000e-01,8.822639551638870870e-02,1.540533776494787954e-01,5.303176816206853772e-01
6.354166666666666297e-01,8.889269228810842138e-02,1.545890001277609171e-01,5.302928518707505923e-01
6.458333333333332593e-01,8.990800472207520488e-02,1.557683082328039648e-01,5.308619450945255558e-01
6.562500000000000000e-01,9.031040887912138160e-02,1.571001156277088973e-01,5.314569650717539950e-01
6.666666666666666297e-01,9.100707666392492123e-02,1.580527203390245383e-01,5.317681567538617982e-01
6.770833333333332593e-01,9.173935472887320697e-02,1.584831846583467652e-01,5.313584582458076300e-01
6.875000000000000000e-01,9.241027018295779050e-02,1.591418521464220137e-01,5.302782651679632808e-01
6.979166666666666297e-01,9.293344177296013198e-02,1.597514489098111612e-01,5.305701145127214025e-01
