t_days,B,F,A
0.000000000000000000e+00,9.914279862663391563e-02,1.713815927531018579e-01,9.224004225519969943e-03
1.000000000000000000e+00,1.360954737298626926e-01,2.446199991549337371e-01,9.066196870991994131e-03
2.000000000000000000e+00,1.669652068063465222e-01,2.827291676626362271e-01,8.672604962268107634e-03
3.000000000000000000e+00,2.036865924275710060e-01,3.126629471687628614e-01,6.403653116489227588e-03
4.000000000000000000e+00,2.400969466003056996e-01,3.033454304331796858e-01,4.877791100086504433e-03
5.000000000000000000e+00,2.763561870284820809e-01,3.049253155797273518e-01,4.377861501836332291e-03
6.000000000000000000e+00,3.099740138033202363e-01,2.992900717190880577e-01,3.171962813889681303e-03
7.000000000000000000e+00,3.349206193104233842e-01,3.096005639484371019e-01,2.874010431046522453e-03
8.000000000000000000e+00,3.547203906100618309e-01,3.131630680703538228e-01,2.219083442027206237e-03
9.000000000000000000e+00,3.675412580033473597e-01,3.150888810415729546e-01,1.057917564241339647e-03
1.000000000000000000e+01,3.911238079791673483e-01,3.329351798785709082e-01,1.005486026789445325e-03
1.100000000000000000e+01,4.128118259156995928e-01,3.368883129235564766e-01,1.563705957680544111e-03
1.200000000000000000e+01,4.410266801425222760e-01,2.995254445096914298e-01,1.480753864947472603e-03
1.300000000000000000e+01,4.454923929178859487e-01,2.956277908633229146e-01,2.323078699559141640e-03
1.400000000000000000e+01,4.549237792748381803e-01,3.011494955821386599e-01,2.354867675800906626e-03
1.500000000000000000e+01,4.644014058119960708e-01,2.831300846091643342e-01,4.574310521143048688e-03
1.600000000000000000e+01,4.788946227729678484e-01,2.834893615722154370e-01,5.052476642182167008e-03
1.700000000000000000e+01,4.882626094340963285e-01,2.701087689290641580e-01,5.278809276453962779e-03
1.800000000000000000e+01,4.973159692576327728e-01,2.548518552379411273e-01,4.957318951072863314e-03
1.900000000000000000e+01,5.049623534500831123e-01,2.635884444572191843e-01,1.918833210524779464e-03
2.000000000000000000e+01,5.190933523055957233e-01,2.490596286641366397e-01,8.245626743698485214e-04
2.100000000000000000e+01,5.210578624025050676e-01,2.321512640958545426e-01,4.136997596343082667e-04
2.200000000000000000e+01,5.206081602179811751e-01,2.417441803309081649e-01,2.080377801803009791e-04
2.300000000000000000e+01,5.186917607880945358e-01,2.341135179676977762e-01,0.000000000000000000e+00
2.400000000000000000e+01,5.179193514247496521e-01,2.109133460806991434e-01,3.129458773352027437e-05
2.500000000000000000e+01,5.323317654942615329e-01,2.468770303724996118e-01,1.703094301082011422e-04
2.600000000000000000e+01,5.414091789837471858e-01,2.554517314999755762e-01,2.943250571477260165e-05
2.700000000000000000e+01,5.469227873029470777e-01,2.501377450430107285e-01,0.000000000000000000e+00
2.800000000000000000e+01,5.522096288024499477e-01,2.394504412477303501e-01,0.000000000000000000e+00
2.900000000000000000e+01,5.563321023835419155e-01,2.478528647802139273e-01,0.000000000000000000e+00
3.000000000000000000e+01,5.324153082534759385e-01,1.776994429483824967e-01,2.232546735824664295e-04
3.100000000000000000e+01,5.093554267744546671e-01,1.313994134157488725e-01,2.580647373384286773e-05
3.200000000000000000e+01,4.784375192064929116e-01,1.007698800424829955e-01,0.000000000000000000e+00
3.300000000000000000e+01,4.638532407814422998e-01,7.837488838074005426e-02,4.314417898695543029e-05
3.400000000000000000e+01,4.471185195940324264e-01,6.488972749986893218e-02,2.767070419721297364e-05
3.500000000000000000e+01,4.322743901496022279e-01,5.340874253233877239e-02,3.193441513307877962e-04
3.600000000000000000e+01,4.122346156965293051e-01,4.594229099999710270e-02,5.108838413491196672e-04
3.700000000000000000e+01,3.942486122293798467e-01,3.787524452748534248e-02,4.037597245115300427e-04
3.800000000000000000e+01,3.750349129755470301e-01,3.487363366559570466e-02,5.390115907092718006e-04
3.900000000000000000e+01,3.566404997972819069e-01,3.626857685091966488e-02,4.275039354902694265e-04
4.000000000000000000e+01,3.317705773687122939e-01,3.813254736886066004e-02,1.571597932269669438e-04
4.100000000000000000e+01,3.236408408045509111e-01,3.662931266329236962e-02,1.035088739396510470e-04
4.200000000000000000e+01,3.080691919157755865e-01,4.079795903200209711e-02,7.196069281954432708e-04
4.300000000000000000e+01,2.855545694511537058e-01,4.270362630347385863e-02,3.278974874659161109e-04
4.400000000000000000e+01,2.798181913511154084e-01,4.837549061959372371e-02,2.495890275288256666e-04
4.500000000000000000e+01,2.744376100398369100e-01,5.217270297340492052e-02,1.434412298852858945e-04
4.600000000000000000e+01,2.731649452982466975e-01,4.905210663994100800e-02,1.586452409133193330e-04
4.700000000000000000e+01,2.640980352080266602e-01,4.499178726146610408e-02,7.088818705081617751e-05
4.800000000000000000e+01,2.573725943780896253e-01,4.650040076981474396e-02,0.000000000000000000e+00
4.900000000000000000e+01,2.517870578145333660e-01,4.725795191524864020e-02,0.000000000000000000e+00
5.000000000000000000e+01,2.403252447100542033e-01,4.756928377369161465e-02,2.817700007242207399e-04
5.100000000000000000e+01,2.318709157064595128e-01,4.361356782252674702e-02,0.000000000000000000e+00
5.200000000000000000e+01,2.143828935566859661e-01,4.150205996918709256e-02,0.000000000000000000e+00
5.300000000000000000e+01,2.046355689866108107e-01,4.265257077715379347e-02,4.995451695182796239e-04
5.400000000000000000e+01,2.010054491165824964e-01,3.796790005056290690e-02,5.808245731811380449e-04
5.500000000000000000e+01,1.937035532312029185e-01,4.038895452873150077e-02,6.228496668330687699e-04
5.600000000000000000e+01,1.858231373963295519e-01,4.565445481588138732e-02,0.000000000000000000e+00
5.700000000000000000e+01,1.798523883699704451e-01,4.161527648624247649e-02,7.042419506716076506e-06
5.800000000000000000e+01,1.758551688806382074e-01,4.326561671907252354e-02,1.776927437767620687e-04
5.900000000000000000e+01,1.722609990481014652e-01,4.855903253827066612e-02,0.000000000000000000e+00
6.000000000000000000e+01,2.144024679844658554e-01,2.767826053749289916e-01,8.354864256172710038e-05
6.100000000000000000e+01,2.661909311247401266e-01,4.452994967916628077e-01,0.000000000000000000e+00
6.200000000000000000e+01,3.088729878256463168e-01,5.164268921073069674e-01,1.141245435733006630e-04
6.300000000000000000e+01,3.387511869542387810e-01,5.692723364378982076e-01,0.000000000000000000e+00
6.400000000000000000e+01,3.707758984333839325e-01,6.071102564410162383e-01,1.265520182995954991e-04
6.500000000000000000e+01,3.961218241633518988e-01,6.771037282727040418e-01,3.090611116300821321e-05
6.600000000000000000e+01,4.247788425044953242e-01,6.921940801717859637e-01,5.027314268467207245e-05
6.700000000000000000e+01,4.514602822371864277e-01,6.936263040493135801e-01,2.970600567867237593e-05
6.800000000000000000e+01,4.887838663953920082e-01,7.141599110051286559e-01,7.215833120741886814e-05
6.900000000000000000e+01,5.119557690125133842e-01,6.933265847191639741e-01,3.813805966558606346e-04
7.000000000000000000e+01,5.467448432618422505e-01,7.108670591833798902e-01,6.933017689609986172e-04
7.100000000000000000e+01,5.724823056934285059e-01,6.670359113311344901e-01,2.504364173947978009e-04
7.200000000000000000e+01,5.995346344111527337e-01,5.970236801436090701e-01,5.265623067393522929e-04
7.300000000000000000e+01,6.157922990063474655e-01,6.132735729638085775e-01,2.586393387803973595e-04
7.400000000000000000e+01,6.287099388633439201e-01,6.152899539511202942e-01,3.787541352323862964e-04
7.500000000000000000e+01,6.337932450109847737e-01,4.557287582877710408e-01,4.731560525229107925e-05
7.600000000000000000e+01,6.371061372417409219e-01,3.792027344335247019e-01,6.011065403671611877e-04
7.700000000000000000e+01,6.467550669750069536e-01,3.085580300045146496e-01,1.960240331758875392e-03
7.800000000000000000e+01,6.477826154873820297e-01,2.618916476270256033e-01,2.528608798752474216e-03
7.900000000000000000e+01,6.468689163925801511e-01,2.791388964220402613e-01,1.909119837048386904e-03
8.000000000000000000e+01,6.494470796435489746e-01,2.596237512153294902e-01,1.665135321790465681e-03
8.100000000000000000e+01,6.518441184294968549e-01,2.402140473096681106e-01,1.068222863030144493e-03
8.200000000000000000e+01,6.561377784834151461e-01,2.140946875740208089e-01,1.174488422451520388e-03
8.300000000000000000e+01,6.763783998233786621e-01,1.970782311603650472e-01,1.876847447755878879e-03
8.400000000000000000e+01,6.771945963691159420e-01,1.806391722896407148e-01,2.495213152828095696e-03
8.500000000000000000e+01,6.645877174021350697e-01,1.999807117045817872e-01,4.580952187990688235e-03
8.600000000000000000e+01,6.576734354497348889e-01,2.134523121678335578e-01,4.510002870480738640e-03
8.700000000000000000e+01,6.476962196129900651e-01,2.209739390839181306e-01,3.606884143567815927e-03
8.800000000000000000e+01,6.633483182927354393e-01,2.137553863776004426e-01,1.392890338473969699e-03
8.900000000000000000e+01,6.691423763084340948e-01,2.014636897114066572e-01,2.786221420067507221e-04
9.000000000000000000e+01,6.728499219634861417e-01,2.025055639034216148e-01,2.528921576862516469e-04
9.100000000000000000e+01,6.700927218515624340e-01,2.246894500890665725e-01,1.465351340930760122e-03
9.200000000000000000e+01,6.686245779623574137e-01,2.125318689660863902e-01,1.876171155188125200e-03
9.300000000000000000e+01,6.764031363580098599e-01,2.183119220232831725e-01,1.090797708361594762e-03
9.400000000000000000e+01,6.814529813822255422e-01,2.447935865125257793e-01,1.460200696250014496e-03
