t_days,B,F,A
0.000000000000000000e+00,1.025968890407902290e-01,1.453776665814704716e-01,9.279153228163257439e-03
1.000000000000000000e+00,1.328715062407193337e-01,2.241250563846589605e-01,8.497619579092105524e-03
2.000000000000000000e+00,1.736341466359858365e-01,2.683675929204739630e-01,8.462345234512938172e-03
3.000000000000000000e+00,2.156207272428908028e-01,2.804733613048204788e-01,8.768380828390693812e-03
4.000000000000000000e+00,2.535844013339521030e-01,2.898624656460594973e-01,1.062648775720181037e-02
5.000000000000000000e+00,2.851481249818278996e-01,2.913393966429061455e-01,1.110250158034248313e-02
6.000000000000000000e+00,3.173156350079492927e-01,2.765445426758448288e-01,1.072202276256580683e-02
7.000000000000000000e+00,3.418077309159610055e-01,2.845567564290248375e-01,7.431611563621027747e-03
8.000000000000000000e+00,3.575221672567264752e-01,3.139396756903377605e-01,4.752402807629676866e-03
9.000000000000000000e+00,3.837479547752185027e-01,3.230829603016905360e-01,4.564082330573203047e-03
1.000000000000000000e+01,3.992529565850945206e-01,3.171622946649191310e-01,5.129748324234651227e-03
1.100000000000000000e+01,4.119291273301538547e-01,2.956048321224843956e-01,6.347931781939364186e-03
1.200000000000000000e+01,4.267998525471113358e-01,2.859768742624984039e-01,4.839997698254902211e-03
1.300000000000000000e+01,4.425104287384730162e-01,2.734003610404661111e-01,1.913890344635810030e-03
1.400000000000000000e+01,4.576510788899505466e-01,2.857923633159767940e-01,1.453530048150402688e-03
1.500000000000000000e+01,4.703412703396678274e-01,2.905124021607683460e-01,6.760123371314366233e-04
1.600000000000000000e+01,4.765442713245197637e-01,2.639962119783922923e-01,1.202058739156723502e-04
1.700000000000000000e+01,4.942929337764655484e-01,2.511403466030708853e-01,3.760421149026825179e-05
1.800000000000000000e+01,5.078558521504653589e-01,2.399743602116788666e-01,3.189981776121537417e-04
1.900000000000000000e+01,5.254838124178775605e-01,2.391150193365545185e-01,7.247040098616221041e-04
2.000000000000000000e+01,5.365662217345615881e-01,2.222892270803847603e-01,1.054855566200210357e-03
2.100000000000000000e+01,5.411698555694746116e-01,2.466410750187300605e-01,2.189653426000438222e-03
2.200000000000000000e+01,5.429241746707941241e-01,2.571093523890479182e-01,1.158725027616097766e-03
2.300000000000000000e+01,5.473677232674558635e-01,2.343520541016600733e-01,1.262659622812250951e-03
2.400000000000000000e+01,5.597417285739686443e-01,2.140706427585526150e-01,1.197091781258800662e-03
2.500000000000000000e+01,5.628447339253077608e-01,2.568377198526390348e-01,1.130038642364027514e-03
2.600000000000000000e+01,5.702981992334601458e-01,2.719595158172511407e-01,1.519742595824958523e-03
